model,pair_id,truth_country,crop_informativeness_label,crop_compatible_country_count,crop_compatible_countries,choice_country,reason,exact_correct,choice_crop_compatible,other_model,other_choice_country,other_choice_crop_compatible,other_reason,crop_path
gpt-5.4,bahamas__idx025__t01_l06_h04_w06,Bahamas,unique,1,Bahamas,Ukraine,"The crop shows a light blue horizontal band over a lower band that appears white due to cropping/background, matching the blue-over-yellow layout of Ukraine.",FALSE,FALSE,gpt-4o,Bahamas,TRUE,The flag has a light blue color similar to the Bahamas flag.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx025__t01_l06_h04_w06.png
gpt-4o,bahamas__idx201__t10_l11_h04_w06,Bahamas,unique,1,Bahamas,Ukraine,The flag has horizontal stripes of blue and yellow.,FALSE,TRUE,gpt-5.4,Ukraine,FALSE,"The crop shows two horizontal bands with yellow on top and blue on the bottom, matching the flag of Ukraine.",results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx201__t10_l11_h04_w06.png
gpt-5.4,bahamas__idx201__t10_l11_h04_w06,Bahamas,unique,1,Bahamas,Ukraine,"The crop shows two horizontal bands with yellow on top and blue on the bottom, matching the flag of Ukraine.",FALSE,TRUE,gpt-4o,Ukraine,TRUE,The flag has horizontal stripes of blue and yellow.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx201__t10_l11_h04_w06.png
gpt-4o,bahamas__idx234__t12_l06_h04_w06,Bahamas,narrow,2,Luxembourg | Bahamas,Ukraine,The light blue color is a prominent feature of the Ukrainian flag.,FALSE,TRUE,gpt-5.4,Ukraine,FALSE,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx234__t12_l06_h04_w06.png
gpt-5.4,bahamas__idx234__t12_l06_h04_w06,Bahamas,narrow,2,Luxembourg | Bahamas,Ukraine,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",FALSE,FALSE,gpt-4o,Ukraine,FALSE,The light blue color is a prominent feature of the Ukrainian flag.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx234__t12_l06_h04_w06.png
gpt-5.4,bahamas__idx241__t12_l13_h04_w06,Bahamas,narrow,2,Luxembourg | Bahamas,Ukraine,"The crop shows a light blue horizontal band, which most strongly matches the top half of Ukraine's blue-over-yellow flag.",FALSE,FALSE,gpt-4o,Bahamas,TRUE,The light blue color is prominent in the Bahamas flag.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx241__t12_l13_h04_w06.png
gpt-4o,guinea__idx087__t04_l11_h04_w06,Guinea,unique,1,Guinea,Lithuania,"The flag has a vertical green stripe next to a yellow field, similar to Lithuania's flag colors.",FALSE,TRUE,gpt-5.4,Mali,FALSE,"The crop shows vertical bands of yellow and green, matching the middle and right portions of Mali's green-yellow-red flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx087__t04_l11_h04_w06.png
gpt-5.4,guinea__idx087__t04_l11_h04_w06,Guinea,unique,1,Guinea,Mali,"The crop shows vertical bands of yellow and green, matching the middle and right portions of Mali's green-yellow-red flag.",FALSE,TRUE,gpt-4o,Lithuania,FALSE,"The flag has a vertical green stripe next to a yellow field, similar to Lithuania's flag colors.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx087__t04_l11_h04_w06.png
gpt-4o,guinea__idx125__t06_l11_h04_w06,Guinea,unique,1,Guinea,Mali,"The flag has vertical stripes of green, yellow, and red.",FALSE,TRUE,gpt-5.4,Mali,FALSE,"The crop shows vertical bands of yellow and green, which matches the middle and right portions of Mali's green-yellow-red tricolor.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx125__t06_l11_h04_w06.png
gpt-5.4,guinea__idx125__t06_l11_h04_w06,Guinea,unique,1,Guinea,Mali,"The crop shows vertical bands of yellow and green, which matches the middle and right portions of Mali's green-yellow-red tricolor.",FALSE,FALSE,gpt-4o,Mali,FALSE,"The flag has vertical stripes of green, yellow, and red.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx125__t06_l11_h04_w06.png
gpt-5.4,guinea__idx232__t12_l04_h04_w06,Guinea,unique,1,Guinea,Belgium,"The crop shows two vertical bands, black/red on the left and yellow on the right, matching Belgium's black-yellow-red vertical tricolor with the black band likely cropped out.",FALSE,FALSE,gpt-4o,Guinea,TRUE,"The flag has vertical stripes of red and yellow, matching Guinea's flag colors.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx232__t12_l04_h04_w06.png
gpt-4o,peru__idx079__t04_l03_h04_w06,Peru,unique,1,Peru,Austria,The flag has a red and white color scheme similar to Austria's flag.,FALSE,TRUE,gpt-5.4,Peru,TRUE,"The crop shows a vertical red-white-red tricolor, which matches Peru among the allowed countries.",results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx079__t04_l03_h04_w06.png
gpt-4o,peru__idx091__t04_l15_h04_w06,Peru,narrow,3,France | Italy | Peru,Austria,The flag has a red and white vertical stripe pattern similar to Austria's flag.,FALSE,TRUE,gpt-5.4,Peru,TRUE,"The crop shows a vertical white band next to a red field, matching Peru's red-white-red vertical tricolor.",results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx091__t04_l15_h04_w06.png
gpt-4o,armenia__idx065__t03_l08_h04_w06,Armenia,unique,1,Armenia,Czech Republic,The flag has a red and blue horizontal stripe pattern similar to the Czech Republic's flag.,FALSE,TRUE,gpt-5.4,Armenia,TRUE,"The flag shown is a horizontal tricolor with red on top and blue in the middle, matching Armenia's red-blue-orange design.",results/flag_game/visual_only_paired_crop_audit/artifacts/armenia__idx065__t03_l08_h04_w06.png
gpt-4o,austria__idx074__t03_l17_h04_w06,Austria,moderate,6,Austria | Hungary | Luxembourg | Netherlands | Yemen | Sudan,Peru,"The flag has two horizontal stripes, red on top and white on the bottom.",FALSE,FALSE,gpt-5.4,Yemen,TRUE,"The crop shows two horizontal bands, red over white, matching the top two stripes of Yemen's red-white-black flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/austria__idx074__t03_l17_h04_w06.png
gpt-4o,austria__idx179__t09_l08_h04_w06,Austria,unique,1,Austria,Yemen,"The flag has horizontal stripes of white and red, similar to Yemen's flag.",FALSE,TRUE,gpt-5.4,Austria,TRUE,"The crop shows a horizontal red-white-red tricolor, which matches the flag of Austria.",results/flag_game/visual_only_paired_crop_audit/artifacts/austria__idx179__t09_l08_h04_w06.png
gpt-5.4,bahamas__idx034__t01_l15_h04_w06,Bahamas,narrow,2,Luxembourg | Bahamas,Ukraine,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",FALSE,TRUE,gpt-4o,Bahamas,TRUE,The light blue color is prominent in the flag of the Bahamas.,results/flag_game/visual_only_paired_crop_audit/artifacts/bahamas__idx034__t01_l15_h04_w06.png
gpt-4o,belgium__idx205__t10_l15_h04_w06,Belgium,narrow,3,Belgium | Chad | Mali,Guinea,"The flag has vertical stripes of red, yellow, and green.",FALSE,TRUE,gpt-5.4,Belgium,TRUE,"The crop shows a vertical yellow band at the hoist next to a red field, matching Belgium's black-yellow-red vertical tricolor with the black likely cropped out.",results/flag_game/visual_only_paired_crop_audit/artifacts/belgium__idx205__t10_l15_h04_w06.png
gpt-5.4,bulgaria__idx075__t03_l18_h04_w06,Bulgaria,unique,1,Bulgaria,Nigeria,"The crop shows a horizontal white band over a green band, consistent with the lower portion of Nigeria's vertical green-white-green flag.",FALSE,FALSE,gpt-4o,Bulgaria,TRUE,"The flag has a white and green horizontal stripe, similar to Bulgaria's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/bulgaria__idx075__t03_l18_h04_w06.png
gpt-4o,chad__idx174__t09_l03_h04_w06,Chad,unique,1,Chad,Ukraine,"The flag has blue and yellow colors, similar to Ukraine's flag.",FALSE,TRUE,gpt-5.4,Ukraine,FALSE,"The crop shows a strong blue field with a vertical yellow section, matching the blue-and-yellow colors of Ukraine.",results/flag_game/visual_only_paired_crop_audit/artifacts/chad__idx174__t09_l03_h04_w06.png
gpt-5.4,chad__idx174__t09_l03_h04_w06,Chad,unique,1,Chad,Ukraine,"The crop shows a strong blue field with a vertical yellow section, matching the blue-and-yellow colors of Ukraine.",FALSE,TRUE,gpt-4o,Ukraine,FALSE,"The flag has blue and yellow colors, similar to Ukraine's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/chad__idx174__t09_l03_h04_w06.png
gpt-5.4,cote_d_ivoire__idx101__t05_l06_h04_w06,Cote d'Ivoire,unique,1,Cote d'Ivoire,Ireland,"The crop shows a vertical orange band next to a white band, matching the left and center of Ireland's tricolor.",FALSE,FALSE,gpt-4o,Cote d'Ivoire,TRUE,"The flag has vertical stripes of orange and white, matching Cote d'Ivoire.",results/flag_game/visual_only_paired_crop_audit/artifacts/cote_d_ivoire__idx101__t05_l06_h04_w06.png
gpt-4o,estonia__idx159__t08_l07_h04_w06,Estonia,unique,1,Estonia,Yemen,"The flag has a black stripe, which is part of Yemen's flag.",FALSE,TRUE,gpt-5.4,Austria,FALSE,"The crop shows two horizontal bands with white above red, matching the middle and bottom of Austria's red-white-red flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/estonia__idx159__t08_l07_h04_w06.png
gpt-5.4,estonia__idx159__t08_l07_h04_w06,Estonia,unique,1,Estonia,Austria,"The crop shows two horizontal bands with white above red, matching the middle and bottom of Austria's red-white-red flag.",FALSE,FALSE,gpt-4o,Yemen,FALSE,"The flag has a black stripe, which is part of Yemen's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/estonia__idx159__t08_l07_h04_w06.png
gpt-4o,france__idx176__t09_l05_h04_w06,France,unique,1,France,Guinea,The flag has a vertical blue stripe similar to Guinea's flag colors.,FALSE,FALSE,gpt-5.4,France,TRUE,"The crop shows adjacent vertical blue and white bands, matching the left and middle stripes of France's blue-white-red tricolor.",results/flag_game/visual_only_paired_crop_audit/artifacts/france__idx176__t09_l05_h04_w06.png
gpt-5.4,gabon__idx084__t04_l08_h04_w06,Gabon,unique,1,Gabon,Lithuania,"The flag shows three horizontal stripes of green, yellow, and red, which matches Lithuania.",FALSE,FALSE,gpt-4o,Gabon,TRUE,"The flag has horizontal stripes of green and yellow, which are part of Gabon's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/gabon__idx084__t04_l08_h04_w06.png
gpt-4o,germany__idx048__t02_l10_h04_w06,Germany,unique,1,Germany,Yemen,"The flag has a black and red horizontal stripe, similar to Yemen's flag.",FALSE,FALSE,gpt-5.4,Germany,TRUE,"The crop shows horizontal black over red bands, matching the top two stripes of Germany's black-red-gold flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/germany__idx048__t02_l10_h04_w06.png
gpt-4o,guinea__idx053__t02_l15_h04_w06,Guinea,unique,1,Guinea,Gabon,"The flag has a vertical yellow stripe and a green section, similar to Gabon's flag colors.",FALSE,TRUE,gpt-5.4,Mali,FALSE,"The crop shows vertical bands with yellow on the left and green on the right, matching Mali's green-yellow-red tricolor when viewed from the middle and right portions.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx053__t02_l15_h04_w06.png
gpt-5.4,guinea__idx053__t02_l15_h04_w06,Guinea,unique,1,Guinea,Mali,"The crop shows vertical bands with yellow on the left and green on the right, matching Mali's green-yellow-red tricolor when viewed from the middle and right portions.",FALSE,FALSE,gpt-4o,Gabon,FALSE,"The flag has a vertical yellow stripe and a green section, similar to Gabon's flag colors.",results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx053__t02_l15_h04_w06.png
gpt-4o,hungary__idx178__t09_l07_h04_w06,Hungary,narrow,2,Hungary | Palestine,Bulgaria,"The flag has horizontal white and green stripes, matching Bulgaria's flag.",FALSE,TRUE,gpt-5.4,Nigeria,FALSE,"The crop shows a horizontal white band over a green band, matching the visible portion of Nigeria's green-white-green vertical tricolor.",results/flag_game/visual_only_paired_crop_audit/artifacts/hungary__idx178__t09_l07_h04_w06.png
gpt-5.4,hungary__idx178__t09_l07_h04_w06,Hungary,narrow,2,Hungary | Palestine,Nigeria,"The crop shows a horizontal white band over a green band, matching the visible portion of Nigeria's green-white-green vertical tricolor.",FALSE,FALSE,gpt-4o,Bulgaria,FALSE,"The flag has horizontal white and green stripes, matching Bulgaria's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/hungary__idx178__t09_l07_h04_w06.png
gpt-4o,ireland__idx224__t11_l15_h04_w06,Ireland,unique,1,Ireland,Cote d'Ivoire,The flag has vertical stripes with orange on the right side.,FALSE,FALSE,gpt-5.4,Ireland,TRUE,"The crop shows a vertical tricolor with white on the left and orange on the right, matching Ireland.",results/flag_game/visual_only_paired_crop_audit/artifacts/ireland__idx224__t11_l15_h04_w06.png
gpt-4o,luxembourg__idx149__t07_l16_h04_w06,Luxembourg,unique,1,Luxembourg,Sierra Leone,"The flag has a light blue stripe at the bottom, similar to Sierra Leone's flag.",FALSE,FALSE,gpt-5.4,Luxembourg,TRUE,"The crop shows a white horizontal band with a light blue band beneath it, matching the middle and bottom stripes of Luxembourg's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/luxembourg__idx149__t07_l16_h04_w06.png
gpt-4o,luxembourg__idx241__t12_l13_h04_w06,Luxembourg,narrow,2,Luxembourg | Bahamas,Ukraine,The light blue color is part of the Ukrainian flag.,FALSE,TRUE,gpt-5.4,Ukraine,FALSE,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",results/flag_game/visual_only_paired_crop_audit/artifacts/luxembourg__idx241__t12_l13_h04_w06.png
gpt-5.4,luxembourg__idx241__t12_l13_h04_w06,Luxembourg,narrow,2,Luxembourg | Bahamas,Ukraine,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",FALSE,FALSE,gpt-4o,Ukraine,FALSE,The light blue color is part of the Ukrainian flag.,results/flag_game/visual_only_paired_crop_audit/artifacts/luxembourg__idx241__t12_l13_h04_w06.png
gpt-4o,netherlands__idx179__t09_l08_h04_w06,Netherlands,narrow,2,Netherlands | Sierra Leone,Russia,"The flag has horizontal white and blue stripes, matching Russia's flag.",FALSE,FALSE,gpt-5.4,Russia,FALSE,"The crop shows a horizontal tricolor with white on top and blue in the middle, matching Russia's white-blue-red flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/netherlands__idx179__t09_l08_h04_w06.png
gpt-5.4,netherlands__idx179__t09_l08_h04_w06,Netherlands,narrow,2,Netherlands | Sierra Leone,Russia,"The crop shows a horizontal tricolor with white on top and blue in the middle, matching Russia's white-blue-red flag.",FALSE,FALSE,gpt-4o,Russia,FALSE,"The flag has horizontal white and blue stripes, matching Russia's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/netherlands__idx179__t09_l08_h04_w06.png
gpt-5.4,palestine__idx006__t00_l06_h04_w06,Palestine,moderate,7,Belgium | Estonia | Germany | Yemen | Bahamas | Palestine | Sudan,France,"The crop appears uniformly dark, which is consistent with the blue vertical band at the hoist side of France's flag.",FALSE,FALSE,gpt-4o,Estonia,TRUE,"The flag of Estonia has a black stripe, which matches the crop.",results/flag_game/visual_only_paired_crop_audit/artifacts/palestine__idx006__t00_l06_h04_w06.png
gpt-5.4,palestine__idx102__t05_l07_h04_w06,Palestine,unique,1,Palestine,Czech Republic,"The crop shows a white-over-red horizontal bicolor with a triangular wedge at the hoist, matching the Czech Republic flag.",FALSE,FALSE,gpt-4o,Palestine,TRUE,The flag has a red triangle on the left side.,results/flag_game/visual_only_paired_crop_audit/artifacts/palestine__idx102__t05_l07_h04_w06.png
gpt-4o,palestine__idx149__t07_l16_h04_w06,Palestine,narrow,2,Hungary | Palestine,Nigeria,"The flag has a green stripe at the bottom, similar to Nigeria's flag.",FALSE,FALSE,gpt-5.4,Nigeria,FALSE,"The crop shows a white central vertical area with green at the edge, matching Nigeria's green-white-green vertical tricolor.",results/flag_game/visual_only_paired_crop_audit/artifacts/palestine__idx149__t07_l16_h04_w06.png
gpt-5.4,palestine__idx149__t07_l16_h04_w06,Palestine,narrow,2,Hungary | Palestine,Nigeria,"The crop shows a white central vertical area with green at the edge, matching Nigeria's green-white-green vertical tricolor.",FALSE,FALSE,gpt-4o,Nigeria,FALSE,"The flag has a green stripe at the bottom, similar to Nigeria's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/palestine__idx149__t07_l16_h04_w06.png
gpt-5.4,russia__idx139__t07_l06_h04_w06,Russia,unique,1,Russia,Armenia,"The crop shows horizontal bands of blue over red, matching the middle and bottom stripes of Armenia's red-blue-orange tricolor.",FALSE,FALSE,gpt-4o,Russia,TRUE,"The flag has a blue and red stripe, which matches the Russian flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/russia__idx139__t07_l06_h04_w06.png
gpt-4o,sierra_leone__idx047__t02_l09_h04_w06,Sierra Leone,unique,1,Sierra Leone,Nigeria,"The flag has a green stripe, which is part of Nigeria's flag.",FALSE,TRUE,gpt-5.4,Nigeria,FALSE,"The crop shows a green-white-green vertical tricolor pattern, matching the flag of Nigeria.",results/flag_game/visual_only_paired_crop_audit/artifacts/sierra_leone__idx047__t02_l09_h04_w06.png
gpt-5.4,sierra_leone__idx047__t02_l09_h04_w06,Sierra Leone,unique,1,Sierra Leone,Nigeria,"The crop shows a green-white-green vertical tricolor pattern, matching the flag of Nigeria.",FALSE,TRUE,gpt-4o,Nigeria,FALSE,"The flag has a green stripe, which is part of Nigeria's flag.",results/flag_game/visual_only_paired_crop_audit/artifacts/sierra_leone__idx047__t02_l09_h04_w06.png
gpt-4o,sierra_leone__idx149__t07_l16_h04_w06,Sierra Leone,narrow,2,Netherlands | Sierra Leone,Estonia,"The flag has a blue stripe at the bottom, which matches Estonia's flag colors.",FALSE,TRUE,gpt-5.4,Ukraine,FALSE,"The crop shows a white upper area with a blue horizontal band at the bottom, matching the blue-and-yellow horizontal layout of Ukraine when only the lower stripe is visible.",results/flag_game/visual_only_paired_crop_audit/artifacts/sierra_leone__idx149__t07_l16_h04_w06.png
gpt-5.4,sierra_leone__idx149__t07_l16_h04_w06,Sierra Leone,narrow,2,Netherlands | Sierra Leone,Ukraine,"The crop shows a white upper area with a blue horizontal band at the bottom, matching the blue-and-yellow horizontal layout of Ukraine when only the lower stripe is visible.",FALSE,FALSE,gpt-4o,Estonia,FALSE,"The flag has a blue stripe at the bottom, which matches Estonia's flag colors.",results/flag_game/visual_only_paired_crop_audit/artifacts/sierra_leone__idx149__t07_l16_h04_w06.png
gpt-5.4,sudan__idx185__t09_l14_h04_w06,Sudan,narrow,2,Yemen | Sudan,Luxembourg,"The crop shows a white horizontal band above a darker lower band, matching the middle white stripe over the blue stripe of Luxembourg.",FALSE,FALSE,gpt-4o,Yemen,TRUE,"The flag has a horizontal black stripe, which matches Yemen's flag colors.",results/flag_game/visual_only_paired_crop_audit/artifacts/sudan__idx185__t09_l14_h04_w06.png
gpt-5.4,sudan__idx238__t12_l10_h04_w06,Sudan,moderate,7,Belgium | Estonia | Germany | Yemen | Bahamas | Palestine | Sudan,France,"The crop appears uniformly dark with no visible distinguishing features, so I am making a best guess from the allowed countries.",FALSE,FALSE,gpt-4o,Estonia,TRUE,"The flag of Estonia has a black stripe, which matches the crop.",results/flag_game/visual_only_paired_crop_audit/artifacts/sudan__idx238__t12_l10_h04_w06.png
gpt-5.4,yemen__idx163__t08_l11_h04_w06,Yemen,narrow,2,Yemen | Sudan,Germany,"The crop shows a horizontal black band beneath a white-looking area, which is most consistent with the black-red-gold tricolor of Germany when the red is washed out.",FALSE,FALSE,gpt-4o,Yemen,TRUE,The flag has horizontal stripes of white and black.,results/flag_game/visual_only_paired_crop_audit/artifacts/yemen__idx163__t08_l11_h04_w06.png